Spotify Premium,Spotify Free,YouTube Free,YouTube Premium,Apple Music,Amazon Music,Others,PE1,PE2,PE3,PE4,PE5,EE1,EE2,EE3,PV1,PV2,PV3,PF1,PF2,PF3,SM1,SM2,SL1,SL2,PG1,PG2,PG3,VM1,VM2,VM3,FT1,FT2,FT3,MH1,MH2,MH3,MH4,MH5,Room_for_enhancement,Age,Gender,Employment status,Household_income
Never or Almost Never,Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,,18 - 24,Male,Student & employed,"£20,000 or Less"
Never or Almost Never,Occasionally,Occasionally,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,25 - 34,Male,Employed Full Time,"£20,000 or Less"
Never or Almost Never,Very Frequently,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree,Organizing Playlists accordingly to play frequently played song on the list first followed by the rest of the songs,18 - 24,Female,Student not employed,"£20,000 or Less"
Never or Almost Never,Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,,,,,
Very Frequently,Never or Almost Never,Regularly,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Somewhat agree,Disagree,Agree,Disagree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,,18 - 24,Male,Student not employed,"£20,000 or Less"
Never or Almost Never,Occasionally,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,18 - 24,Male,Student & employed,"£20,000 or Less"
Never or Almost Never,Very Frequently,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,,18 - 24,Female,Student not employed,"£20,001 - £40,000"
Occasionally,Frequently,Very Frequently,Never or Almost Never,Occasionally,Never or Almost Never,Never or Almost Never,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Disagree,By Encouraging Collaborative features with friends and family for a good value for money package might help,18 - 24,Female,Student not employed,"£20,000 or Less"
Never or Almost Never,Very Frequently,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Disagree,Somewhat disagree,Disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,,18 - 24,Female,Student & employed,
Never or Almost Never,Frequently,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Occasionally,Agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Disagree,"In the streaming app that I use currently repeats the song frequently, which makes me eventually hate the song ... Some might like it.. I find it irritating. If I don't select the songs for the list , the app itself adds songs to the list in which it repeats the song. New songs and artists can be introduced through this but the app adds only the famous and repeated songs that are famous in the reels. ",18 - 24,Female,Student not employed,"£20,000 or Less"
Never or Almost Never,Very Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Yes there surely is.... Some interfaces aren't very user friendly and yes listening to music for free while watching advertisements might be the price we pay but the frequency of these advertisements are to be considered,18 - 24,Female,Student not employed,"£20,000 or Less"
Never or Almost Never,Occasionally,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Very Frequently,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Disagree,Somewhat disagree,Strongly agree,Agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Display correct lyrics for every song,18 - 24,Female,Student not employed,
Never or Almost Never,Very Frequently,Occasionally,Never or Almost Never,Never or Almost Never,Never or Almost Never,Never or Almost Never,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Ads can be noiseless. Offline music option can be made available ,18 - 24,Female,Student not employed,
Never or Almost Never,Occasionally,Frequently,Never or Almost Never,Never or Almost Never,Never or Almost Never,Regularly,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Strongly agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,,18 - 24,Female,Student not employed,
